,a,b,c
154,156,-0.23554170422981643,1.7805952424034963
155,157,-0.22978425024054708,1.7815089785686316
156,158,-0.22915483753671234,1.7826699940755812
157,159,-0.2297194147609261,1.7840491789823925
158,160,-0.23330712574876014,1.776010385901478
159,161,-0.22274773602772843,1.7666508597722148
160,162,-0.21873829402689315,1.7747965742155638
161,163,-0.21783361103341675,1.7759461105193117
162,164,-0.22063663085969656,1.7718634382460032
163,165,-0.22203404298069282,1.7704646897876102
164,166,-0.21986840289277043,1.7644840360381144
165,167,-0.2204999839940834,1.7613353714702995
166,168,-0.2158531491001088,1.7682716526168978
167,169,-0.22073988396419744,1.7548205301487918
168,170,-0.2178510841543059,1.7630303968061392
169,171,-0.22174351152017652,1.7539435969755504
170,172,-0.22298439659774122,1.752295515486416
171,173,-0.21938895607746625,1.7590351974632485
172,174,-0.23441895556603595,1.7697888502781143
173,175,-0.2268214341640867,1.7577021344500592
174,176,-0.22586653603169976,1.7585939042317673
175,177,-0.23060866351016712,1.7499014499030334
176,178,-0.2334413834028543,1.7492416566893274
177,179,-0.2444047407415681,1.7274424781756808
178,180,-0.24951621048657513,1.7126214490934561
179,181,-0.2502143603064481,1.7134521422699136
180,182,-0.23174663147519053,1.7519678183803744
181,183,-0.2530801540022115,1.7061662278912124
182,184,-0.23777586937452116,1.7415440608442008
183,185,-0.2560818792013266,1.722072852459642
184,186,-0.26602015726399203,1.7362958866648615
