,0
787,140
788,31
789,6
790,127
791,17
792,4
793,300
794,580
795,16
796,119
797,1
798,90
799,1
800,8
801,102
802,829
803,1
804,2
805,2
806,2
807,1
808,1
809,4
810,2
811,2
812,56
813,9
814,4
815,91
816,24
817,3
818,10
819,38
820,27
821,18
822,2
823,131
824,19
825,20
826,8
827,137
828,93
829,229
830,284
831,1
832,180
833,8
834,25
835,1
836,5
837,1
838,3
839,38
840,189
841,3
842,31
843,375
844,30
845,23
846,3
847,377
848,155
849,87
850,29
851,6
852,191
853,75
854,77
855,1
856,5
857,32
858,102
859,18
860,1
861,90
862,153
863,12
864,7
865,18
866,945
867,18
868,36
869,3
870,50
871,169
872,13
873,183
874,568
875,103
876,2
877,6
878,5
879,10
880,17
881,164
882,5
883,44
884,24
885,314
886,39
887,11
888,42
889,79
890,2
891,29
892,5
893,1
894,343
895,17
896,354
897,33
898,151
899,8
900,208
901,10
902,60
903,2
904,54
905,2
906,79
907,581
908,3
909,80
910,388
911,115
912,192
913,1
914,1
915,70
916,265
917,84
918,39
919,3
920,2
921,6
922,130
923,1
924,1
925,21
926,2
927,1
928,178
929,54
930,1
931,1
932,64
933,1
934,39
935,294
936,26
937,283
938,31
939,10
940,122
941,62
942,116
943,1
944,77
945,52
946,169
947,35
948,45
949,15
950,1
951,14
952,113
953,6
954,382
955,21
956,194
957,11
958,233
959,25
960,1
961,270
962,2
963,1
964,18
965,114
966,2
967,7
968,3
969,258
970,151
971,1
972,134
973,223
974,61
975,10
976,10
977,218
978,57
979,265
980,29
981,9
982,127
983,142
984,7
985,112
986,26
987,227
988,27
989,23
990,16
991,148
992,92
993,206
994,15
995,18
996,51
997,508
998,9
999,15
1000,53
1001,55
1002,60
1003,112
1004,6
1005,2
1006,29
1007,5
1008,113
1009,80
1010,4
1011,32
1012,41
1013,51
1014,35
1015,31
1016,148
1017,72
1018,103
1019,1
1020,4
1021,27
1022,73
1023,296
1024,29
1025,23
1026,10
1027,147
1028,1
1029,1
1030,278
1031,6
1032,12
1033,76
1034,2
1035,57
1036,7
1037,17
1038,163
1039,43
1040,62
1041,55
1042,172
1043,30
1044,47
1045,103
1046,2
1047,7
1048,18
1049,201
1050,1
1051,16
1052,223
1053,13
1054,118
1055,372
1056,142
1057,4
1058,1
1059,2
1060,5
1061,71
1062,6
1063,15
1064,25
1065,1
1066,1
1067,3
1068,137
1069,111
1070,35
1071,108
1072,12
1073,58
1074,1
1075,23
1076,47
1077,41
1078,27
1079,3
1080,37
1081,98
1082,47
1083,69
1084,3
1085,5
1086,10
1087,27
1088,8
1089,9
1090,13
1091,239
1092,61
1093,32
1094,93
1095,87
1096,59
1097,1
1098,91
1099,273
1100,11
1101,6
1102,149
1103,165
1104,568
1105,71
1106,1
1107,8
1108,14
1109,43
1110,29
1111,81
1112,221
1113,33
1114,57
1115,182
1116,20
1117,20
1118,17
1119,1
1120,11
1121,7
1122,136
1123,1
1124,142
1125,27
1126,120
1127,39
1128,8
1129,3
1130,177
1131,10
1132,6
1133,7
1134,190
1135,1
1136,2
1137,302
1138,63
1139,7
1140,18
1141,2
1142,75
1143,29
1144,98
1145,156
1146,3
1147,90
1148,42
1149,35
1150,64
1151,17
1152,1
1153,41
1154,7
1155,3
1156,4
1157,90
1158,50
1159,61
1160,314
1161,33
1162,40
1163,18
1164,67
1165,58
1166,1
1167,15
1168,13
1169,40
1170,99
1171,40
1172,16
1173,57
1174,255
1175,1
1176,8
1177,40
1178,134
1179,34
1180,1
1181,47
1182,11
1183,45
1184,41
1185,34
1186,30
1187,1
1188,23
1189,42
1190,2
1191,1
1192,93
1193,7
1194,28
1195,90
1196,44
1197,18
1198,11
1199,2
1200,3
1201,58
1202,16
1203,38
1204,4
1205,32
1206,1
1207,2
1208,17
1209,204
1210,91
1211,137
1212,79
1213,27
1214,1
1215,7
1216,75
1217,33
1218,39
1219,1
1220,24
1221,32
1222,53
1223,14
1224,1
1225,1
1226,1
1227,57
1228,3
1229,161
1230,4
1231,69
1232,8
1233,11
1234,29
1235,215
1236,16
1237,48
1238,38
1239,6
1240,22
1241,10
1242,96
1243,39
1244,5
1245,127
1246,78
1247,144
1248,1
1249,54
1250,5
1251,1
1252,48
1253,1
1254,1
1255,4
1256,8
1257,5
1258,63
1259,33
1260,17
1261,11
1262,4
1263,36
1264,65
1265,25
1266,6
1267,7
1268,13
1269,4
1270,77
1271,105
1272,395
1273,7
1274,107
1275,41
1276,65
1277,27
1278,23
1279,41
1280,72
1281,4
1282,64
1283,7
1284,21
1285,5
1286,19
1287,35
1288,20
1289,60
1290,251
1291,144
1292,3
1293,54
1294,49
1295,5
1296,5
1297,343
1298,54
1299,14
1300,4
1301,13
1302,52
1303,10
1304,24
1305,48
1306,34
1307,204
1308,78
1309,609
1310,2
1311,2
1312,12
1313,159
1314,31
1315,50
1316,26
1317,56
1318,2
1319,18
1320,1
1321,1
1322,13
1323,7
1324,133
1325,82
1326,23
1327,29
1328,15
1329,58
