,id,length,N_nodes
0,0,94.14318091650384,250
1,1,4.846423736729016,62
2,2,1.011490677991487,30
3,3,13.170482744608774,71
4,4,1.5862927760061105,41
5,5,47.31184055645191,151
6,6,32.8578130570272,217
7,7,143.3694204643745,136
8,8,8.360460233029544,69
9,9,3.1344274830231478,9
10,10,20.565618258343335,99
11,11,41.66013624821137,79
12,12,41.939786456898766,91
13,13,18.724552892245594,85
14,14,21.864119643802383,19
15,15,9.500311069703692,30
16,16,89.4534373184811,185
17,17,40.131268757698884,37
18,18,54.77173765970872,89
19,19,10.375673127218764,38
20,20,67.50288625146318,207
21,21,11.299580447958897,39
22,22,19.897606069000204,85
23,23,7.260859469794199,120
24,24,13.478947676357588,88
25,25,26.410613604399007,163
26,26,12.174897875400974,55
27,27,8.35823571252598,43
28,28,2.332576207231322,38
29,29,11.303305634057562,77
30,30,11.457643914070237,35
31,31,7.454334514630052,96
32,32,49.09256826137445,152
33,33,5.941609764765174,52
34,34,55.423210438555614,302
35,35,76.53713465141499,108
36,36,65.04782300482576,62
37,37,32.17825454950689,61
38,38,9.541282135287489,17
39,39,11.365357809697493,27
40,40,76.82381378429109,97
41,41,56.86764282516079,104
42,42,59.24415553110042,127
43,43,105.68280965797916,252
44,44,89.39363751021341,85
45,45,114.42533894195215,652
46,46,40.77602397103552,86
47,47,10.319970316533597,99
48,48,60.074641121182964,171
49,49,33.35729165276741,132
51,51,7.415350181135665,48
52,52,9.298472780478212,270
53,53,4.786652814999466,88
54,54,1.267645673509601,13
55,55,57.452949359777634,192
56,56,17.491204773937834,86
57,57,22.07758968937108,161
58,58,14.780490426854328,43
59,59,70.77231577600638,168
60,60,17.485683669088807,68
61,61,32.5560668818144,49
62,62,5.001153487040388,68
63,63,33.300943748261915,96
64,64,33.265911886357955,62
65,65,12.01962713320767,51
66,66,3.2209872200847514,28
67,67,29.083252291726982,202
68,68,8.160887950687819,30
69,69,10.130165178193913,94
70,70,14.88338984796202,101
71,71,12.579648941709019,119
72,72,47.67513347213918,25
73,73,34.308842887290844,100
74,74,0.7155318687423604,26
75,75,61.08001424729388,112
76,76,45.46724224664699,170
77,77,9.110899431520183,60
78,78,12.616257655743004,69
79,79,53.06129123230489,198
80,80,30.645073067850095,177
81,81,57.3499690352408,94
82,82,10.149491608549775,43
83,83,5.531868593918154,59
84,84,10.984512342294611,100
85,85,10.852315526997089,74
86,86,53.87195770937985,282
87,87,5.439613216621267,130
88,88,8.886690514765503,105
89,89,4.810507285883914,59
90,90,7.335851562176878,72
91,91,23.431968218417076,59
92,92,100.58939623427298,424
93,93,8.544948794910411,57
94,94,44.71488151210763,54
95,95,27.933234518272876,154
96,96,42.039842223513745,94
97,97,18.97161380504634,71
98,98,0.59323618020734,11
99,99,44.83567315155724,17
100,100,7.850579577915873,77
101,101,64.63464896096806,169
102,102,30.30747344226388,45
103,103,77.12354129608282,114
104,104,64.49106507568311,71
105,105,19.99588397431134,198
106,106,17.378212402930075,97
107,107,100.96194658972458,154
108,108,62.536682160563224,84
109,109,6.9862124041782065,43
110,110,9.264622661946627,29
111,111,40.829576461611744,147
112,112,13.722459452758208,76
113,113,9.786936052151678,7
114,114,117.10367975597468,522
115,115,26.421407277071435,136
116,116,12.08036993193178,61
117,117,9.87912994741349,84
118,118,17.513180441626233,61
119,119,3.3063913606315234,25
120,120,20.459605818719304,83
121,121,52.285697899499624,87
122,122,64.69077895907995,198
124,124,0.0,1
125,125,23.48583117616016,57
126,126,8.238937772046192,31
127,127,16.17177404733729,29
128,128,11.42861544177696,61
129,129,10.55701007233781,108
130,130,11.659053562411296,61
131,131,48.36892484415649,43
132,132,12.753147439615969,43
133,133,28.59731773020363,70
134,134,4.458558584425533,37
135,135,2.9703085640628006,60
136,136,0.5635647297024681,30
137,137,48.886460701284314,38
138,138,14.594693000462309,121
139,139,5.381954834433545,54
140,140,1.1324194725721939,16
141,141,14.137946320358122,67
142,142,33.84947423880625,154
143,143,24.392238506278282,27
144,144,43.238961067424206,134
145,145,15.978673417190432,71
146,146,19.35167681831709,33
147,147,77.79371224633047,56
148,148,6.611341883225746,41
149,149,8.242270333881114,29
150,150,9.91745392231388,56
151,151,68.82566026870518,105
152,152,2.4087052543353806,28
153,153,35.258987093162844,289
154,154,58.6911057418045,123
155,155,0.36105499879004155,11
156,156,94.69769872778936,88
157,157,86.42374863732144,157
158,158,13.15141913329038,70
159,159,23.695038510672486,61
160,160,49.39191767245607,91
161,161,65.64610901089475,187
162,162,55.44490090628943,152
163,163,4.167198804408365,21
164,164,3.4107520006831615,81
165,165,15.6210014077296,71
166,166,37.34188510639658,51
167,167,24.51489922871695,122
168,168,0.8072908077319362,8
169,169,2.9957507761417816,87
170,170,35.70860903051469,318
171,171,39.02165228684336,116
172,172,0.8540228210931686,22
173,173,52.08922518787992,98
174,174,7.125608689915753,57
175,175,21.17243296659571,89
176,176,38.01250387213488,266
177,177,9.077505641156405,90
178,178,13.916301624819358,112
179,179,9.951346434912551,27
180,180,27.355450428372148,61
181,181,65.85522183288643,112
182,182,16.264165411511772,36
183,183,120.3215944900992,226
184,184,52.83371697942115,76
185,185,74.84555880334678,129
186,186,88.61998428485671,146
187,187,11.96378361047448,92
188,188,14.41199573760899,124
189,189,18.035246740658042,48
190,190,12.147628614418867,56
191,191,20.942219204135657,35
192,192,4.327572847448942,21
193,193,25.967999191852208,82
194,194,93.45890109787645,197
195,195,31.132878465363106,118
196,196,2.7845650363564802,28
197,197,14.3110318025691,53
198,198,2.0039754202263693,34
199,199,83.43683301699642,312
200,200,2.895786421491162,59
201,201,5.514323138161443,116
202,202,78.33403754071462,125
203,203,49.31288061513378,84
204,204,37.22285984037558,156
205,205,33.63895590448645,114
206,206,82.17576296041412,72
207,207,29.663804885014507,186
208,208,29.996022167250516,105
209,209,19.790418523489894,123
210,210,42.763905356722944,203
211,211,16.760503971344413,32
212,212,32.95366238089004,90
213,213,57.05673069799406,147
214,214,25.403986900825437,121
215,215,13.688189703247676,28
216,216,17.55479450035902,154
217,217,19.732795276918914,95
218,218,8.332662267145755,54
219,219,30.65934222490165,76
220,220,6.733771204933406,58
221,221,6.712851414160544,32
222,222,15.473784259351998,81
223,223,6.627078913417457,70
224,224,17.081344377749097,39
225,225,33.47924298038851,105
226,226,14.745055327472466,86
227,227,15.612651791484836,184
228,228,9.22064504463433,135
229,229,17.246095517386536,111
230,230,12.526581008301882,98
231,231,28.02957316175993,130
232,232,1.1785276225276,55
233,233,40.79792265426419,314
234,234,40.79792265426419,314
235,235,94.9623423216775,72
236,236,55.1205519174724,148
237,237,68.78203136445444,86
238,238,6.750890421391075,96
239,239,13.110066031863676,38
