,Unnamed: 0,id,length,N_nodes,normalized_length
0,0,0,94.14318091650384,250,3.620891573711686
1,1,1,4.846423736729016,62,0.403868644727418
2,2,2,1.011490677991487,30,0.16858177966524782
3,3,3,13.170482744608774,71,1.1973166131462523
4,4,4,1.5862927760061103,41,0.31725855520122204
5,5,5,47.31184055645191,151,1.689708591301854
6,6,6,32.8578130570272,217,0.8646792909744
7,7,7,143.3694204643745,136,9.557961364291634
8,8,8,8.360460233029544,69,0.6967050194191287
9,9,9,3.134427483023148,9,0.34826972033590536
10,10,10,20.56561825834333,99,2.0565618258343332
11,11,11,41.66013624821137,79,3.471678020684281
12,12,12,41.939786456898766,91,2.621236653556173
13,13,13,18.724552892245597,85,2.6749361274636567
14,14,14,21.864119643802383,19,3.6440199406337306
15,15,15,9.500311069703692,30,1.9000622139407384
16,16,16,89.4534373184811,185,2.3540378241705553
17,17,17,40.13126875769888,37,5.01640859471236
18,18,18,54.77173765970872,89,3.6514491773139146
19,19,19,10.375673127218764,38,2.593918281804691
20,20,20,67.50288625146318,207,3.375144312573159
21,21,21,11.299580447958895,39,1.8832634079931492
22,22,22,19.897606069000204,85,1.530585082230785
23,23,23,7.260859469794199,120,0.8067621633104666
24,24,24,13.478947676357588,88,0.8985965117571726
25,25,25,26.410613604399007,163,1.2576482668761433
26,26,26,12.174897875400974,55,1.106808897763725
27,27,27,8.35823571252598,43,0.835823571252598
28,28,28,2.332576207231322,38,0.19438135060261016
29,29,29,11.303305634057562,77,0.8073789738612545
30,30,30,11.457643914070236,35,1.4322054892587794
31,31,31,7.454334514630052,96,0.6776667740572774
32,32,32,49.09256826137445,152,2.337741345779736
33,33,33,5.941609764765174,52,0.5941609764765174
34,34,34,55.423210438555614,302,1.6794912254107761
35,35,35,76.53713465141499,108,5.102475643427666
36,36,36,65.04782300482576,62,8.13097787560322
37,37,37,32.17825454950689,61,5.363042424917815
38,38,38,9.541282135287489,17,1.0601424594763875
39,39,39,11.365357809697493,27,2.2730715619394983
40,40,40,76.82381378429109,97,5.487415270306506
41,41,41,56.86764282516079,104,4.374434063473907
42,42,42,59.24415553110042,127,3.4849503253588483
43,43,43,105.68280965797916,252,3.108317931117034
44,44,44,89.39363751021341,85,5.2584492653066714
45,45,45,114.42533894195216,652,1.378618541469303
46,46,46,40.77602397103552,86,2.9125731407882514
47,47,47,10.319970316533595,99,1.1466633685037328
48,48,48,60.07464112118296,171,3.003732056059148
49,49,49,33.35729165276741,132,1.6678645826383705
50,51,51,7.415350181135665,48,0.2247075812465353
51,52,52,9.298472780478212,270,1.1623090975597765
52,53,53,4.786652814999466,88,0.19146611259997864
53,54,54,1.267645673509601,13,0.09054611953640006
54,55,55,57.452949359777634,192,11.490589871955526
55,56,56,17.491204773937834,86,0.5830401591312612
56,57,57,22.07758968937108,161,2.453065521041231
57,58,58,14.780490426854328,43,0.5912196170741731
58,59,59,70.77231577600638,168,8.846539472000797
59,60,60,17.485683669088807,68,0.7948038031404003
60,61,61,32.5560668818144,49,1.9150627577537884
61,62,62,5.001153487040388,68,0.5556837207822654
62,63,63,33.300943748261915,96,1.8500524304589954
63,64,64,33.265911886357955,62,2.7721593238631628
64,65,65,12.01962713320767,51,1.5024533916509588
65,66,66,3.220987220084752,28,0.5368312033474586
66,67,67,29.083252291726986,202,3.635406536465873
67,68,68,8.160887950687819,30,0.5100554969179887
68,69,69,10.130165178193913,94,0.9209241071085376
69,70,70,14.88338984796202,101,0.9302118654976262
70,71,71,12.57964894170902,119,1.1436044492462747
71,72,72,47.67513347213918,25,2.1670515214608717
72,73,73,34.308842887290844,100,6.861768577458169
73,74,74,0.7155318687423604,26,0.04770212458282403
74,75,75,61.08001424729388,112,12.216002849458777
75,76,76,45.46724224664699,170,3.247660160474785
76,77,77,9.110899431520185,60,0.33744071968593276
77,78,78,12.616257655743004,69,1.2616257655743004
78,79,79,53.06129123230489,198,5.306129123230489
79,80,80,30.64507306785009,177,1.5322536533925046
80,81,81,57.3499690352408,94,1.792186532351275
81,82,82,10.149491608549775,43,0.780730123734598
82,83,83,5.531868593918154,59,0.6914835742397692
83,84,84,10.984512342294613,100,1.5692160488992304
84,85,85,10.852315526997089,74,1.5503307895710126
85,86,86,53.87195770937985,282,4.897450700852714
86,87,87,5.439613216621267,130,0.1326734930883236
87,88,88,8.886690514765503,105,0.522746500868559
88,89,89,4.810507285883914,59,0.3700390219910703
89,90,90,7.335851562176878,72,0.6668955965615344
90,91,91,23.43196821841708,59,2.6035520242685646
91,92,92,100.58939623427298,424,10.058939623427298
92,93,93,8.544948794910411,57,0.2309445620246057
93,94,94,44.71488151210763,54,6.387840216015376
94,95,95,27.93323451827288,154,3.49165431478411
95,96,96,42.03984222351375,94,3.5033201852928126
96,97,97,18.97161380504634,71,1.264774253669756
97,98,98,0.59323618020734,11,0.031222956853017896
98,99,99,44.83567315155724,17,6.405096164508177
99,100,100,7.850579577915873,77,1.1215113682736961
100,101,101,64.63464896096806,169,3.802038174174592
101,102,102,30.30747344226388,45,1.3177162366201687
102,103,103,77.12354129608282,114,12.853923549347137
103,104,104,64.49106507568311,71,4.960851159667931
104,105,105,19.99588397431134,198,1.5381449211008724
105,106,106,17.378212402930075,97,0.6683927847280798
106,107,107,100.96194658972458,154,8.413495549143715
107,108,108,62.53668216056322,84,2.605695090023467
108,109,109,6.986212404178207,43,0.4657474936118805
109,110,110,9.264622661946628,29,0.8422384238133298
110,111,111,40.829576461611744,147,10.207394115402936
111,112,112,13.722459452758208,76,0.9801756751970149
112,113,113,9.786936052151678,7,0.8897214592865161
113,114,114,117.10367975597468,522,14.637959969496835
114,115,115,26.421407277071435,136,0.5180668093543419
115,116,116,12.08036993193178,61,0.5491077241787173
116,117,117,9.87912994741349,84,0.7599330728779609
117,118,118,17.513180441626233,61,1.4594317034688526
118,119,119,3.3063913606315234,25,0.2755326133859603
119,120,120,20.459605818719304,83,3.409934303119884
120,121,121,52.28569789949962,87,4.753245263590874
121,122,122,64.69077895907995,198,4.312718597271997
122,124,124,0.0,1,0.0
123,125,125,23.48583117616016,57,23.48583117616016
124,126,126,8.238937772046192,31,1.1769911102923132
