,id,ccm,bcm,ebcm
0,1,0.05953965810406976,0.295393656555181,0.2923674127848358
1,2,0.10133317161864674,0.33333333333333337,0.3563218390804597
2,3,0.12797140337902213,0.22682709447415333,0.22320181143710557
3,4,0.10065237458630864,0.2681252681252681,0.2662662662662663
4,5,0.11432464318985551,0.058989082026304374,0.04458777229087812
5,6,0.10250234896160874,0.06584854562079619,0.04920882742838402
6,7,0.07437603849395846,0.1630948882638569,0.13309056331144684
7,8,0.07197851047477688,0.20405663987753545,0.17829601990049754
8,9,0.3599449414223541,0.2738095238095238,0.32407407407407407
9,10,0.09450087895346426,0.11011838403142753,0.08728523650262779
10,11,0.0986574941632786,0.13563603845293987,0.1128443300183418
11,12,0.11722592009307126,0.12030059492746062,0.09382487947111634
12,13,0.049908845450616954,0.25548117494320033,0.24054634075367362
13,14,0.2996137373914749,0.18974358974358976,0.20392156862745103
14,15,0.12667155582739262,0.2784900284900285,0.27469135802469136
15,16,0.13840903243356795,0.048788588745558525,0.02970913645679361
16,17,0.21561924931614618,0.12591642228739,0.09080387205387205
17,18,0.1501596350262913,0.08008202323991793,0.059374167313507184
18,19,0.08205366557314599,0.3259838786154576,0.33514262184622295
19,20,0.07506639089075723,0.11331703151684525,0.10217542932751236
20,21,0.11383848364390495,0.21162052741000117,0.21023713128976282
21,22,0.061212859303961295,0.21123602136260364,0.20075783308047065
22,23,0.06496076350041011,0.15292529252925297,0.1391345168999658
23,24,0.0838817523120049,0.14881171460118833,0.10007878300561222
24,25,0.08010268860844758,0.08068629154734831,0.06726420297848867
25,26,0.1855666275696716,0.09797003907946161,0.0800655976676385
26,27,0.12832858789850404,0.29871794871794877,0.30256410256410254
27,28,0.11929068773217347,0.22303732303732296,0.1956956956956957
28,29,0.12318027541902907,0.11803266178266175,0.0947871650821089
29,30,0.1544047745432775,0.18077956989247315,0.1886904761904762
30,31,0.08473672759161745,0.13311634196581598,0.117284657781851
31,32,0.13493515009395438,0.056719128329297805,0.03789584799437017
32,33,0.05927367510747134,0.33333333333333326,0.34640522875817004
33,34,0.07658101384104872,0.0563950107606135,0.04260537144966957
34,35,0.11143941132026826,0.09671696921095484,0.0824571624083373
35,36,0.12705814561256887,0.1588326820089738,0.12825963718820857
36,37,0.06131752402134241,0.3021154945683246,0.30378787878787883
37,38,0.318410133360385,0.23030303030303026,0.2540792540792541
38,39,0.11218807768254872,0.3333333333333334,0.3589743589743591
39,40,0.09755844986022112,0.135180183077154,0.1218137126261831
40,41,0.047992323412991734,0.23372205198047905,0.2114464762184524
41,42,0.05839981106060403,0.14996636246636255,0.13563023156046414
42,43,0.12020460500119448,0.03631196729022982,0.021046865139322798
43,44,0.2009118355446582,0.10720092915214866,0.08262558072009293
44,45,0.10764629560825444,0.022055140262318768,0.010975298822202037
45,46,0.08829109840497949,0.15416557314903917,0.1353188900846942
46,47,0.10437960528280457,0.14556839834470717,0.13172896398702852
47,48,0.11989000497623956,0.058747615306924024,0.041491399149355325
48,49,0.07702068571974723,0.12409026343920691,0.0961775131746416
49,50,0.08794916873675748,0.0458903893343651,0.030081438297099358
50,51,0.1079741786540553,0.2670231729055258,0.2651828298887123
51,52,0.07283940492702946,0.0586802129930592,0.04735026125920708
52,53,0.09766018940841407,0.14493963747695093,0.1286552646419976
53,54,0.08170289622431569,0.09219215861657719,0.06305712464493543
54,55,0.04804243157228109,0.318867202449292,0.31037668798862833
55,56,0.09714139501257485,0.08537782390855855,0.06146846448570587
56,57,0.1368723602026663,0.16187572590011617,0.13590961883644812
57,58,0.11574658806543417,0.06366185897435893,0.04139691379510382
58,59,0.25148703285460117,0.21225490196078428,0.20919117647058819
59,60,0.2792263355450035,0.08712121212121214,0.06380616509926854
60,61,0.1281852697555415,0.1749723145071982,0.16055456171735244
61,62,0.09694127282565765,0.11403877021854551,0.09369286176008867
62,63,0.05453121649492666,0.3184451485229732,0.3301960942380944
63,64,0.118290244147441,0.16409863945578224,0.15851311953352773
64,65,0.14418739252739518,0.258974358974359,0.2576923076923077
65,66,0.07123889508327017,0.08337062635705167,0.07284594770866354
66,67,0.106972492515003,0.324210910417807,0.33633429590623415
